INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,STATISTICAL_MURDER_FLAG
229904043,6/22/21,2:39:00,TRUE
227000895,4/15/21,16:15:00,FALSE
233761159,9/18/21,19:58:00,FALSE
228865037,5/29/21,0:11:00,TRUE
222932692,1/11/21,23:49:00,TRUE
227174231,4/20/21,16:30:00,FALSE
232132668,8/11/21,12:40:00,FALSE
227089755,4/18/21,19:10:00,FALSE
227344448,4/23/21,0:06:00,TRUE
227950650,5/6/21,23:28:00,TRUE
237439377,12/6/21,17:25:00,TRUE
235208442,10/19/21,15:15:00,FALSE
231246225,7/22/21,6:32:00,TRUE
237439377,12/6/21,17:25:00,FALSE
233199172,9/6/21,18:00:00,FALSE
232390407,8/17/21,13:00:00,FALSE
225397350,3/10/21,2:04:00,TRUE
232390407,8/17/21,13:00:00,FALSE
223198985,1/16/21,12:39:00,TRUE
223505103,1/22/21,22:00:00,FALSE
223801321,1/31/21,21:53:00,FALSE
232733684,8/25/21,23:16:00,FALSE
88464990,1/7/13,21:22:00,FALSE
187954071,9/21/18,6:52:00,TRUE
67131199,10/25/09,4:00:00,FALSE
75190886,10/22/10,18:02:00,FALSE
66957864,10/19/09,21:12:00,FALSE
213188087,5/16/20,1:09:00,FALSE
86437258,8/26/12,1:05:00,TRUE
82585371,1/11/12,16:40:00,FALSE
71938174,3/27/10,6:41:00,FALSE
16631511,6/1/06,11:40:00,FALSE
16814011,6/13/06,20:56:00,TRUE
144732382,7/23/15,0:22:00,FALSE
68964080,12/17/09,13:45:00,TRUE
85875439,7/22/12,21:35:00,FALSE
175773152,3/12/18,3:40:00,FALSE
33977870,8/24/07,21:50:00,FALSE
26103369,1/5/07,13:54:00,TRUE
23354102,7/4/06,2:45:00,FALSE
66112200,9/24/09,19:59:00,FALSE
78284542,4/17/11,19:35:00,TRUE
35552370,11/7/07,16:34:00,FALSE
28907939,5/8/07,12:40:00,FALSE
66027258,9/22/09,15:22:00,FALSE
37401646,1/1/08,3:40:00,TRUE
35265783,10/24/07,18:07:00,FALSE
85875439,7/22/12,21:35:00,FALSE
73298761,6/20/10,5:23:00,FALSE
54915039,12/15/08,18:30:00,TRUE
84804943,5/17/12,15:14:00,FALSE
205280612,11/16/19,3:44:00,TRUE
75330416,10/30/10,5:39:00,TRUE
65953625,9/20/09,4:00:00,FALSE
151747520,4/1/16,17:22:00,FALSE
65636446,9/10/09,17:47:00,FALSE
10879209,3/31/06,1:13:00,FALSE
12835945,5/7/06,11:34:00,TRUE
65270101,8/31/09,0:50:00,FALSE
28250387,4/2/07,21:20:00,TRUE
214693798,6/27/20,4:00:00,FALSE
74514013,9/8/10,21:01:00,FALSE
145503526,8/21/15,0:55:00,FALSE
152535322,4/27/16,7:30:00,FALSE
74925351,10/5/10,16:04:00,FALSE
211772774,4/6/20,2:00:00,TRUE
154563862,7/4/16,1:02:00,FALSE
218394942,9/27/20,0:24:00,FALSE
26069302,1/3/07,2:00:00,TRUE
79803016,7/13/11,23:16:00,FALSE
16631436,5/20/06,23:39:00,FALSE
11118846,4/14/06,19:35:00,FALSE
80541204,8/31/11,19:18:00,FALSE
80990271,10/2/11,7:52:00,TRUE
35480308,11/4/07,20:16:00,FALSE
49255321,7/27/08,1:41:00,FALSE
24675454,10/6/06,11:07:00,TRUE
81018468,10/3/11,15:45:00,FALSE
173528070,1/11/18,21:20:00,FALSE
80558961,9/2/11,3:56:00,FALSE
55867752,1/21/09,0:26:00,TRUE
24303624,9/12/06,15:10:00,FALSE
24516764,9/27/06,1:13:00,FALSE
87213449,10/13/12,3:12:00,TRUE
16631460,5/23/06,23:03:00,FALSE
171509879,11/12/17,2:45:00,FALSE
137334596,6/18/14,23:47:00,TRUE
51338335,9/14/08,0:45:00,FALSE
36243108,12/10/07,20:18:00,FALSE
91612689,7/13/13,2:05:00,FALSE
59120367,2/26/09,22:56:00,FALSE
206909436,1/2/20,16:25:00,FALSE
49955966,8/10/08,17:01:00,FALSE
25012784,10/27/06,2:54:00,TRUE
35406560,10/31/07,19:25:00,TRUE
25490117,11/26/06,3:18:00,FALSE
25313903,11/15/06,19:17:00,FALSE
24129967,9/2/06,15:45:00,FALSE
219708180,10/25/20,21:35:00,FALSE
62968509,6/21/09,4:41:00,FALSE
10660752,3/10/06,21:30:00,FALSE
60217265,4/2/09,10:25:00,FALSE
32288649,6/16/07,14:35:00,FALSE
68057381,11/21/09,17:24:00,FALSE
47405920,6/21/08,21:00:00,FALSE
61826981,5/17/09,5:51:00,FALSE
65644496,9/11/09,23:30:00,FALSE
51079993,9/8/08,16:07:00,FALSE
52438324,10/23/08,15:54:00,FALSE
151695536,3/30/16,23:32:00,FALSE
25344914,11/17/06,22:41:00,FALSE
164301446,4/29/17,0:04:00,FALSE
68516061,12/5/09,3:17:00,FALSE
62275547,5/31/09,1:25:00,FALSE
9953249,1/2/06,0:49:00,TRUE
25625020,12/5/06,17:29:00,FALSE
74455296,9/3/10,18:28:00,FALSE
217593193,9/8/20,21:25:00,TRUE
84854142,5/21/12,19:31:00,FALSE
29277332,5/27/07,4:40:00,FALSE
65077476,8/24/09,23:23:00,FALSE
79636636,7/4/11,18:45:00,FALSE
81470432,10/31/11,21:08:00,FALSE
90582840,5/11/13,17:55:00,FALSE
