BORO,LOCATION_DESC,PRECINCT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
BRONX,MULTI DWELL - PUBLIC HOUS,40,1005933,235834,40.81396723,-73.92166882,POINT (-73.92166881899993 40.81396723100005)
BRONX,MULTI DWELL - APT BUILD,43,1023770,244142,40.83670852,-73.85718151,POINT (-73.85718151099996 40.83670851900007)
BRONX,MULTI DWELL - APT BUILD,46,1013266,253128,40.86141318,-73.89510262,POINT (-73.89510261899994 40.86141317800008)
BRONX,DEPT STORE,44,1007961,246839,40.84416759,-73.91430352,POINT (-73.91430351799994 40.84416759000004)
BRONX,PVT HOUSE,48,1018554,245062,40.83925545,-73.8760267,POINT (-73.87602669799998 40.839255451000035)
QUEENS,MULTI DWELL - PUBLIC HOUS,101,1043516,157081,40.59763735,-73.78658888,POINT (-73.78658887599995 40.59763735300004)
BRONX,COMMERCIAL BLDG,41,1015966,235235,40.81229282,-73.88542618,POINT (-73.885426178 40.812292824000046)
BROOKLYN,BAR/NIGHT CLUB,77,998193,186297,40.67801622,-73.94973325,POINT (-73.94973324699998 40.678016222000046)
QUEENS,MULTI DWELL - PUBLIC HOUS,107,1036732,207396,40.73578328,-73.8106258,POINT (-73.81062580299994 40.73578327800004)
BRONX,MULTI DWELL - PUBLIC HOUS,42,1010810,244029,40.83644685,-73.9040176,POINT (-73.90401760099996 40.83644685100006)
QUEENS,MULTI DWELL - APT BUILD,113,1049021,189295,40.68601904,-73.7664566,POINT (-73.76645659599995 40.68601904400003)
BROOKLYN,BEAUTY/NAIL SALON,67,1000204,173775,40.6436427,-73.94251269,POINT (-73.94251268999993 40.64364269800007)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,23,998025,226411,40.78811954,-73.95025681,POINT (-73.95025681099996 40.78811954200007)
BROOKLYN,GROCERY/BODEGA,69,1011203,174515,40.6456472,-73.90287589,POINT (-73.90287588699994 40.64564719600002)
BRONX,MULTI DWELL - PUBLIC HOUS,40,1010097,237401,40.81825701,-73.90661981,POINT (-73.90661980699997 40.81825700500008)
BRONX,PVT HOUSE,48,1018554,245062,40.83925545,-73.8760267,POINT (-73.87602669799998 40.839255451000035)
BROOKLYN,MULTI DWELL - APT BUILD,71,996262,181980,40.66616985,-73.9567027,POINT (-73.95670270399995 40.66616985400003)
BROOKLYN,MULTI DWELL - APT BUILD,75,1015379,182115,40.66649383,-73.88779254,POINT (-73.88779253999998 40.66649382600008)
MANHATTAN,GROCERY/BODEGA,32,1000257,238942,40.82250992,-73.94216668,POINT (-73.94216668099993 40.82250992400003)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,79,998205,190419,40.68933015,-73.94968145,POINT (-73.94968144799998 40.68933015300007)
QUEENS,MULTI DWELL - APT BUILD,105,1054429,199737,40.71463855,-73.74684826,POINT (-73.74684826299993 40.714638552000046)
BRONX,MULTI DWELL - PUBLIC HOUS,40,1007252,239375,40.82368294,-73.91689163,POINT (-73.91689162799997 40.82368294200006)
QUEENS,GROCERY/BODEGA,105,1059372,196337,40.70526581,-73.72905567,POINT (-73.72905567199997 40.70526581200004)
QUEENS,HOTEL/MOTEL,103,1046177,197643,40.70895265,-73.77663441,POINT (-73.77663441099996 40.70895264600006)
BRONX,MULTI DWELL - PUBLIC HOUS,40,1010608,237548,40.81865897,-73.90477306,POINT (-73.904773059 40.81865896800008)
BRONX,MULTI DWELL - APT BUILD,47,1027934,259273,40.87821891,-73.8420348,POINT (-73.84203480299993 40.87821890700008)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,28,998362,231048,40.80084632,-73.94903008,POINT (-73.94903008499993 40.800846321000044)
BROOKLYN,MULTI DWELL - APT BUILD,72,982339,174880,40.64668985,-74.00688787,POINT (-74.00688786799998 40.64668984600007)
QUEENS,PVT HOUSE,115,1018835,216957,40.76211388,-73.87515592,POINT (-73.87515592199998 40.76211388100006)
BROOKLYN,GROCERY/BODEGA,69,1011203,174515,40.6456472,-73.90287589,POINT (-73.90287588699994 40.64564719600002)
BROOKLYN,FAST FOOD,63,1006671,170359,40.6342525,-73.91922082,POINT (-73.91922081899997 40.63425250000005)
BRONX,COMMERCIAL BLDG,41,1015966,235235,40.81229282,-73.88542618,POINT (-73.885426178 40.812292824000046)
BRONX,MULTI DWELL - PUBLIC HOUS,42,1010706,243782,40.83576922,-73.90439442,POINT (-73.90439441599993 40.83576922100008)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,76,983439,185086,40.67470324,-74.00292517,POINT (-74.00292516799993 40.674703240000035)
QUEENS,MULTI DWELL - APT BUILD,109,1032046,216554,40.7609462,-73.8274696,POINT (-73.82746959899998 40.76094620300007)
BRONX,GAS STATION,48,1011588,247981,40.84729156,-73.90118992,POINT (-73.90118991899999 40.84729155900004)
QUEENS,HOTEL/MOTEL,103,1046177,197643,40.70895265,-73.77663441,POINT (-73.77663441099996 40.70895264600006)
MANHATTAN,MULTI DWELL - APT BUILD,32,1000828,240293,40.82621698,-73.94010027,POINT (-73.94010026799998 40.826216983000045)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,76,983439,185086,40.67470324,-74.00292517,POINT (-74.00292516799993 40.674703240000035)
BRONX,MULTI DWELL - PUBLIC HOUS,42,1010706,243782,40.83576922,-73.90439442,POINT (-73.90439441599993 40.83576922100008)
MANHATTAN,MULTI DWELL - APT BUILD,32,1000828,240293,40.82621698,-73.94010027,POINT (-73.94010026799998 40.826216983000045)
BROOKLYN,BAR/NIGHT CLUB,90,1001951,195081,40.70211956,-73.93616159,POINT (-73.93616159099997 40.70211956100008)
BRONX,MULTI DWELL - APT BUILD,46,1013266,253128,40.86141318,-73.89510262,POINT (-73.89510261899994 40.86141317800008)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,73,1009905,180751,40.6627675,-73.90752953,POINT (-73.90752952599996 40.662767503000055)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,25,1003060,230959,40.80059329,-73.93206156,POINT (-73.93206155599995 40.80059328900006)
QUEENS,MULTI DWELL - APT BUILD,113,1049021,189295,40.68601904,-73.7664566,POINT (-73.76645659599995 40.68601904400003)
BRONX,BAR/NIGHT CLUB,44,1006999,245897,40.84158461,-73.91778364,POINT (-73.91778363799993 40.841584606000026)
MANHATTAN,COMMERCIAL BLDG,32,1001430,237389,40.81824518,-73.9379325,POINT (-73.9379325 40.81824517500007)
QUEENS,PVT HOUSE,115,1018835,216957,40.76211388,-73.87515592,POINT (-73.87515592199998 40.76211388100006)
BRONX,DRY CLEANER/LAUNDRY,42,1015482,240641,40.82713249,-73.88714949,POINT (-73.88714948599994 40.82713248500005)
BROOKLYN,MULTI DWELL - APT BUILD,90,999645,195120,40.70223092,-73.94447824,POINT (-73.94447824399998 40.702230918000055)
